KodeBPS,KodeProv,NamaProv,KabKot,Kategori,Produk,Harga,Tahun,Bulan
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Juni
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Juli
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Agustus
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,September
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Oktober
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,November
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2023,Desember
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Januari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Februari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,170000,2024,Maret
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,April
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Mei
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Juni
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Juli
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Agustus
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,September
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Oktober
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,November
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2024,Desember
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Januari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Februari
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Maret
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,April
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Mei
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Juni
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Juli
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Agustus
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,September
11.1,11,Aceh,Kab. Aceh Singkil,Protein,Daging Sapi Murni,NA,2025,Oktober
11.16,11,Aceh,Kab. Aceh Tamiang,Protein,Daging Sapi Murni,135714,2022,Januari
11.16,11,Aceh,Kab. Aceh Tamiang,Protein,Daging Sapi Murni,130000,2022,Februari
11.16,11,Aceh,Kab. Aceh Tamiang,Protein,Daging Sapi Murni,135333,2022,Maret
11.16,11,Aceh,Kab. Aceh Tamiang,Protein,Daging Sapi Murni,140357,2022,April
11.16,11,Aceh,Kab. Aceh Tamiang,Protein,Daging Sapi Murni,135000,2022,Mei
